k	l	 Weighting	Accuracy
24	inf	 False	    0.7361111111111112
25	-1	 False	    0.7361111111111112
25	1	 False	    0.7361111111111112
25	2	 False	    0.7222222222222222
25	3	 False	    0.75
25	4	 False	    0.75
25	5	 False	    0.75
25	6	 False	    0.75
25	inf	 False	    0.7361111111111112
26	-1	 False	    0.7361111111111112
26	1	 False	    0.7361111111111112
26	2	 False	    0.75
26	3	 False	    0.7777777777777778
26	4	 False	    0.7777777777777778
26	5	 False	    0.7777777777777778
26	6	 False	    0.7777777777777778
26	inf	 False	    0.7361111111111112
27	-1	 False	    0.7222222222222222
27	1	 False	    0.7361111111111112
27	2	 False	    0.7777777777777778
27	3	 False	    0.75
27	4	 False	    0.75
27	5	 False	    0.75
27	6	 False	    0.75
27	inf	 False	    0.7361111111111112
28	-1	 False	    0.7222222222222222
28	1	 False	    0.7361111111111112
28	2	 False	    0.7638888888888888
28	3	 False	    0.7638888888888888
28	4	 False	    0.7638888888888888
28	5	 False	    0.7638888888888888
28	6	 False	    0.7638888888888888
28	inf	 False	    0.75
29	-1	 False	    0.7222222222222222
29	1	 False	    0.7361111111111112
29	2	 False	    0.7638888888888888
29	3	 False	    0.7777777777777778
29	4	 False	    0.7777777777777778
29	5	 False	    0.7777777777777778
29	6	 False	    0.7777777777777778
29	inf	 False	    0.75
30	-1	 False	    0.7222222222222222
30	1	 False	    0.7222222222222222
30	2	 False	    0.7638888888888888
30	3	 False	    0.7777777777777778
30	4	 False	    0.7777777777777778
30	5	 False	    0.7777777777777778
30	6	 False	    0.7777777777777778
30	inf	 False	    0.7777777777777778

Highest accuracy achieved: 0.7778
k= 26 l= 3  weighting= False
k= 26 l= 4  weighting= False
k= 26 l= 5  weighting= False
k= 26 l= 6  weighting= False
k= 27 l= 2  weighting= False
k= 29 l= 3  weighting= False
k= 29 l= 4  weighting= False
k= 29 l= 5  weighting= False
k= 29 l= 6  weighting= False
k= 30 l= 3  weighting= False
k= 30 l= 4  weighting= False
k= 30 l= 5  weighting= False
k= 30 l= 6  weighting= False
k= 30 l= inf  weighting= False
